date,value_GDP,value_TSX,value_mortgage_rates,value_employment,value_housing_prices,value_interest_rates
2019-01-31,,15540.599609,3.84,60.8,0.0,
2019-02-28,,15999.0,3.82,61.1,0.3505696757230425,
2019-03-31,,16102.099609,3.76,61.0,0.6962576153176774,
2019-04-30,1.864947270527709,16580.699219,3.59,61.6,0.6485084306095978,
2019-05-31,1.6977022349425959,16037.5,3.45,62.7,0.3017241379310296,1.75
2019-06-03,,,,,,1.75
2019-06-04,,,,,,1.75
2019-06-05,,,,,,1.75
2019-06-06,,,,,,1.75
2019-06-07,,,,,,1.75
2019-06-10,,,,,,1.75
2019-06-11,,,,,,1.75
2019-06-12,,,,,,1.75
2019-06-13,,,,,,1.75
2019-06-14,,,,,,1.75
2019-06-17,,,,,,1.75
2019-06-18,,,,,,1.75
2019-06-19,,,,,,1.75
2019-06-20,,,,,,1.75
2019-06-21,,,,,,1.75
2019-06-24,,,,,,1.75
2019-06-25,,,,,,1.75
2019-06-26,,,,,,1.75
2019-06-27,,,,,,1.75
2019-06-28,,,,,,1.75
2019-06-30,1.881365420361304,16382.200195,3.33,63.2,0.21505376344086022,
2019-07-01,,,,,,1.75
2019-07-02,,,,,,1.75
2019-07-03,,,,,,1.75
2019-07-04,,,,,,1.75
2019-07-05,,,,,,1.75
2019-07-08,,,,,,1.75
2019-07-09,,,,,,1.75
2019-07-10,,,,,,1.75
2019-07-11,,,,,,1.75
2019-07-12,,,,,,1.75
2019-07-15,,,,,,1.75
2019-07-16,,,,,,1.75
2019-07-17,,,,,,1.75
2019-07-18,,,,,,1.75
2019-07-19,,,,,,1.75
2019-07-22,,,,,,1.75
2019-07-23,,,,,,1.75
2019-07-24,,,,,,1.75
2019-07-25,,,,,,1.75
2019-07-26,,,,,,1.75
2019-07-29,,,,,,1.75
2019-07-30,,,,,,1.75
2019-07-31,1.644783345611161,16406.599609,3.22,62.7,0.042992261392946825,1.75
2019-08-01,,,,,,1.75
2019-08-02,,,,,,1.75
2019-08-05,,,,,,1.75
2019-08-06,,,,,,1.75
2019-08-07,,,,,,1.75
2019-08-08,,,,,,1.75
2019-08-09,,,,,,1.75
2019-08-12,,,,,,1.75
2019-08-13,,,,,,1.75
2019-08-14,,,,,,1.75
2019-08-15,,,,,,1.75
2019-08-16,,,,,,1.75
2019-08-19,,,,,,1.75
2019-08-20,,,,,,1.75
2019-08-21,,,,,,1.75
2019-08-22,,,,,,1.75
2019-08-23,,,,,,1.75
2019-08-26,,,,,,1.75
2019-08-27,,,,,,1.75
2019-08-28,,,,,,1.75
2019-08-29,,,,,,1.75
2019-08-30,,,,,,1.75
2019-08-31,1.6901472100143482,16442.099609,3.16,62.7,0.08591065292096951,
2019-09-02,,,,,,1.75
2019-09-03,,,,,,1.75
2019-09-04,,,,,,1.75
2019-09-05,,,,,,1.75
2019-09-06,,,,,,1.75
2019-09-09,,,,,,1.75
2019-09-10,,,,,,1.75
2019-09-11,,,,,,1.75
2019-09-12,,,,,,1.75
2019-09-13,,,,,,1.75
2019-09-16,,,,,,1.75
2019-09-17,,,,,,1.75
2019-09-18,,,,,,1.75
2019-09-19,,,,,,1.75
2019-09-20,,,,,,1.75
2019-09-23,,,,,,1.75
2019-09-24,,,,,,1.75
2019-09-25,,,,,,1.75
2019-09-26,,,,,,1.75
2019-09-27,,,,,,1.75
2019-09-30,1.6842173339958035,16658.599609,3.12,62.4,0.21431633090441493,1.75
2019-10-01,,,,,,1.75
2019-10-02,,,,,,1.75
2019-10-03,,,,,,1.75
2019-10-04,,,,,,1.75
2019-10-07,,,,,,1.75
2019-10-08,,,,,,1.75
2019-10-09,,,,,,1.75
2019-10-10,,,,,,1.75
2019-10-11,,,,,,1.75
2019-10-14,,,,,,1.75
2019-10-15,,,,,,1.75
2019-10-16,,,,,,1.75
2019-10-17,,,,,,1.75
2019-10-18,,,,,,1.75
2019-10-21,,,,,,1.75
2019-10-22,,,,,,1.75
2019-10-23,,,,,,1.75
2019-10-24,,,,,,1.75
2019-10-25,,,,,,1.75
2019-10-28,,,,,,1.75
2019-10-29,,,,,,1.75
2019-10-30,,,,,,1.75
2019-10-31,1.4746453120429195,16483.199219,3.12,62.3,0.3417343015805139,1.75
2019-11-01,,,,,,1.75
2019-11-04,,,,,,1.75
2019-11-05,,,,,,1.75
2019-11-06,,,,,,1.75
2019-11-07,,,,,,1.75
2019-11-08,,,,,,1.75
2019-11-11,,,,,,1.75
2019-11-12,,,,,,1.75
2019-11-13,,,,,,1.75
2019-11-14,,,,,,1.75
2019-11-15,,,,,,1.75
2019-11-18,,,,,,1.75
2019-11-19,,,,,,1.75
2019-11-20,,,,,,1.75
2019-11-21,,,,,,1.75
2019-11-22,,,,,,1.75
2019-11-25,,,,,,1.75
2019-11-26,,,,,,1.75
2019-11-27,,,,,,1.75
2019-11-28,,,,,,1.75
2019-11-29,,,,,,1.75
2019-11-30,1.7748215961018936,17040.199219,3.13,61.8,0.12798634812287174,
2019-12-02,,,,,,1.75
2019-12-03,,,,,,1.75
2019-12-04,,,,,,1.75
2019-12-05,,,,,,1.75
2019-12-06,,,,,,1.75
2019-12-09,,,,,,1.75
2019-12-10,,,,,,1.75
2019-12-11,,,,,,1.75
2019-12-12,,,,,,1.75
2019-12-13,,,,,,1.75
2019-12-16,,,,,,1.75
2019-12-17,,,,,,1.75
2019-12-18,,,,,,1.75
2019-12-19,,,,,,1.75
2019-12-20,,,,,,1.75
2019-12-23,,,,,,1.75
2019-12-24,,,,,,1.75
2019-12-25,,,,,,1.75
2019-12-26,,,,,,1.75
2019-12-27,,,,,,1.75
2019-12-30,,,,,,1.75
2019-12-31,2.0614459594416616,17063.400391,3.23,61.7,0.3401360544217614,1.75
2020-01-01,,,,,,1.75
2020-01-02,,,,,,1.75
2020-01-03,,,,,,1.75
2020-01-06,,,,,,1.75
2020-01-07,,,,,,1.75
2020-01-08,,,,,,1.75
2020-01-09,,,,,,1.75
2020-01-10,,,,,,1.75
2020-01-13,,,,,,1.75
2020-01-14,,,,,,1.75
2020-01-15,,,,,,1.75
2020-01-16,,,,,,1.75
2020-01-17,,,,,,1.75
2020-01-20,,,,,,1.75
2020-01-21,,,,,,1.75
2020-01-22,,,,,,1.75
2020-01-23,,,,,,1.75
2020-01-24,,,,,,1.75
2020-01-27,,,,,,1.75
2020-01-28,,,,,,1.75
2020-01-29,,,,,,1.75
2020-01-30,,,,,,1.75
2020-01-31,1.8581266215907544,17318.5,3.24,60.8,1.176470588235299,1.75
2020-02-03,,,,,,1.75
2020-02-04,,,,,,1.75
2020-02-05,,,,,,1.75
2020-02-06,,,,,,1.75
2020-02-07,,,,,,1.75
2020-02-10,,,,,,1.75
2020-02-11,,,,,,1.75
2020-02-12,,,,,,1.75
2020-02-13,,,,,,1.75
2020-02-14,,,,,,1.75
2020-02-17,,,,,,1.75
2020-02-18,,,,,,1.75
2020-02-19,,,,,,1.75
2020-02-20,,,,,,1.75
2020-02-21,,,,,,1.75
2020-02-24,,,,,,1.75
2020-02-25,,,,,,1.75
2020-02-26,,,,,,1.75
2020-02-27,,,,,,1.75
2020-02-28,,,,,,1.75
2020-02-29,2.1372312874239974,16263.099609,3.19,61.0,1.4900662251655605,
2020-03-02,,,,,,1.75
2020-03-03,,,,,,1.75
2020-03-04,,,,,,1.25
2020-03-05,,,,,,1.25
2020-03-06,,,,,,1.25
2020-03-09,,,,,,1.25
2020-03-10,,,,,,1.25
2020-03-11,,,,,,1.25
2020-03-12,,,,,,1.25
2020-03-13,,,,,,1.25
2020-03-16,,,,,,0.75
2020-03-17,,,,,,0.75
2020-03-18,,,,,,0.75
2020-03-19,,,,,,0.75
2020-03-20,,,,,,0.75
2020-03-23,,,,,,0.75
2020-03-24,,,,,,0.75
2020-03-25,,,,,,0.75
2020-03-26,,,,,,0.75
2020-03-27,,,,,,0.25
2020-03-30,,,,,,0.25
2020-03-31,-5.834350516851596,13378.799805,3.03,57.5,1.788617886178864,0.25
2020-04-01,,,,,,0.25
2020-04-02,,,,,,0.25
2020-04-03,,,,,,0.25
2020-04-06,,,,,,0.25
2020-04-07,,,,,,0.25
2020-04-08,,,,,,0.25
2020-04-09,,,,,,0.25
2020-04-10,,,,,,0.25
2020-04-13,,,,,,0.25
2020-04-14,,,,,,0.25
2020-04-15,,,,,,0.25
2020-04-16,,,,,,0.25
2020-04-17,,,,,,0.25
2020-04-20,,,,,,0.25
2020-04-21,,,,,,0.25
2020-04-22,,,,,,0.25
2020-04-23,,,,,,0.25
2020-04-24,,,,,,0.25
2020-04-27,,,,,,0.25
2020-04-28,,,,,,0.25
2020-04-29,,,,,,0.25
2020-04-30,,14780.700195,,51.5,0.08123476848090522,0.25
2020-05-01,,,,,,0.25
2020-05-04,,,,,,0.25
2020-05-05,,,,,,0.25
2020-05-06,,,,,,0.25
2020-05-07,,,,,,0.25
2020-05-08,,,,,,0.25
2020-05-11,,,,,,0.25
2020-05-12,,,,,,0.25
2020-05-13,,,,,,0.25
2020-05-14,,,,,,0.25
2020-05-15,,,,,,0.25
2020-05-18,,,,,,0.25
2020-05-19,,,,,,0.25
2020-05-20,,,,,,0.25
2020-05-21,,,,,,0.25
2020-05-22,,,,,,0.25
2020-05-25,,,,,,0.25
2020-05-26,,,,,,0.25
2020-05-27,,,,,,0.25
2020-05-28,,,,,,0.25
2020-05-29,,,,,,0.25
2020-05-31,,15192.799805,,,,
2020-06-01,,,,,,0.25
