Date,Open,High,Low,Close,Adj Close,Volume
2019-01-01,14163.900391,15564.599609,14112.799805,15540.599609,15540.599609,5215379100
2019-02-01,15562.299805,16115.799805,15483.400391,15999.000000,15999.000000,4753997700
2019-03-01,16086.299805,16275.299805,15891.900391,16102.099609,16102.099609,5665494600
2019-04-01,16187.900391,16672.699219,16153.599609,16580.699219,16580.699219,4499161900
2019-05-01,16580.599609,16604.900391,15963.299805,16037.500000,16037.500000,4752008500
2019-06-01,16053.500000,16603.900391,15960.900391,16382.200195,16382.200195,4223231600
2019-07-01,16463.599609,16641.800781,16282.099609,16406.599609,16406.599609,3712162700
2019-08-01,16389.199219,16505.900391,15964.400391,16442.099609,16442.099609,4342951400
2019-09-01,16382.500000,16947.199219,16328.400391,16658.599609,16658.599609,4682831000
2019-10-01,16683.599609,16707.500000,16198.099609,16483.199219,16483.199219,4059545200
2019-11-01,16537.699219,17120.900391,16534.900391,17040.199219,17040.199219,4313767700
2019-12-01,17060.900391,17230.599609,16817.000000,17063.400391,17063.400391,4156688600
2020-01-01,17131.599609,17666.500000,17033.199219,17318.500000,17318.500000,4661181300
2020-02-01,17351.000000,17970.500000,15896.400391,16263.099609,16263.099609,4968852600
2020-03-01,16325.000000,16798.199219,11172.700195,13378.799805,13378.799805,10996859000
2020-04-01,12966.799805,15257.900391,12814.000000,14780.700195,14780.700195,7314581900
2020-05-01,14563.000000,15342.400391,14187.500000,15192.799805,15192.799805,6397636900